what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1319468492997
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1319468492997
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1319468492998
os,sysinfo,,,"win32",1319468493000
arch,sysinfo,,,"x86",1319468493000
ws,sysinfo,,,"win32",1319468493000
locale,sysinfo,,,"pt_BR",1319468493000
processors,sysinfo,,,"2",1319468493000
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1319468493000
java.runtime.version,sysinfo,,,"1.7.0-b147",1319468493000
java.specification.name,sysinfo,,,"Java Platform API Specification",1319468493000
java.specification.vendor,sysinfo,,,"Oracle Corporation",1319468493000
java.specification.version,sysinfo,,,"1.7",1319468493000
java.vendor,sysinfo,,,"Oracle Corporation",1319468493000
java.version,sysinfo,,,"1.7.0",1319468493000
java.vm.info,sysinfo,,,"mixed mode, sharing",1319468493000
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1319468493000
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1319468493000
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1319468493000
java.vm.specification.version,sysinfo,,,"1.7",1319468493000
java.vm.vendor,sysinfo,,,"Oracle Corporation",1319468493000
java.vm.version,sysinfo,,,"21.0-b17",1319468493000
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1319468494124
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1319468494286
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1319468502472
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.4.v20110204-0100-e3x,"org.eclipse.cdt.mylyn.ui",1319468502487
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.ui",1319468506938
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319468507248
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319468511533
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319468515811
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319468519163
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1319468519246
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1319468519299
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1319468521008
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1319468523230
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1319468527037
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.format",1319468528172
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.format",1319468530084
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1319468531029
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1319468532209
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1319468532458
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1319468543642
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1319468568637
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1319468570707
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1319468573467
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1319468574803
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1319468583883
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1319468589923
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1319468590161
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1319468593867
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1319468600328
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1319468601203
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1319468612826
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.format",1319468615789
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1319468618467
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.format",1319468620632
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1319468677299
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1319468681910
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1319468687788
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1319468689253
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1319468696885
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1319468703232
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1319468705139
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1319468706065
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1319468706898
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1319468707209
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1319468715800
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1319468727030
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1319468728368
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1319468734523
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1319468736953
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1319468738949
error,log,,,"Unable to get CElement for Macro",1319468745033
error,log,,,"Unable to get CElement for Macro",1319468745037
error,log,,,"Unable to get CElement for Macro",1319468745041
error,log,,,"Unable to get CElement for Macro",1319468745043
error,log,,,"Unable to get CElement for Macro",1319468745047
error,log,,,"Unable to get CElement for Macro",1319468745051
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1319468745070
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1319468750856
error,log,,,"Unable to get CElement for Macro",1319468754346
error,log,,,"Unable to get CElement for Macro",1319468754348
error,log,,,"Unable to get CElement for Macro",1319468754351
error,log,,,"Unable to get CElement for Macro",1319468754353
error,log,,,"Unable to get CElement for Macro",1319468754356
error,log,,,"Unable to get CElement for Macro",1319468754359
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1319468754378
error,log,,,"Unable to get CElement for Macro",1319468766734
error,log,,,"Unable to get CElement for Macro",1319468766737
error,log,,,"Unable to get CElement for Macro",1319468766740
error,log,,,"Unable to get CElement for Macro",1319468766742
error,log,,,"Unable to get CElement for Macro",1319468766745
error,log,,,"Unable to get CElement for Macro",1319468766747
error,log,,,"Unable to get CElement for Macro",1319468766750
error,log,,,"Unable to get CElement for Macro",1319468766752
error,log,,,"Unable to get CElement for Macro",1319468766755
error,log,,,"Unable to get CElement for Macro",1319468766758
error,log,,,"Unable to get CElement for Macro",1319468766761
error,log,,,"Unable to get CElement for Macro",1319468766763
error,log,,,"Unable to get CElement for Macro",1319468766765
error,log,,,"Unable to get CElement for Macro",1319468766768
error,log,,,"Unable to get CElement for Macro",1319468766770
error,log,,,"Unable to get CElement for Macro",1319468766773
error,log,,,"Unable to get CElement for Macro",1319468766776
error,log,,,"Unable to get CElement for Macro",1319468766778
error,log,,,"Unable to get CElement for Macro",1319468766781
error,log,,,"Unable to get CElement for Macro",1319468766783
error,log,,,"Unable to get CElement for Macro",1319468766785
error,log,,,"Unable to get CElement for Macro",1319468766788
error,log,,,"Unable to get CElement for Macro",1319468766790
error,log,,,"Unable to get CElement for Macro",1319468766795
error,log,,,"Unable to get CElement for Macro",1319468766798
error,log,,,"Unable to get CElement for Macro",1319468766800
error,log,,,"Unable to get CElement for Macro",1319468766803
error,log,,,"Unable to get CElement for Macro",1319468766806
error,log,,,"Unable to get CElement for Macro",1319468766808
error,log,,,"Unable to get CElement for Macro",1319468766810
error,log,,,"Unable to get CElement for Macro",1319468766813
error,log,,,"Unable to get CElement for Macro",1319468766815
error,log,,,"Unable to get CElement for Macro",1319468766817
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1319468766832
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1319468786497
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1319468806635
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.format",1319468808069
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1319468809168
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1319468829931
