what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1320413194796
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320413196970
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320413197132
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1320413205392
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.binaryEditor",1320413209635
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.binaryEditor",1320413209680
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1320413222242
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.binaryEditor",1320413222243
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320413228272
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320413228473
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1320413231549
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1320413231726
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320413233837
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.ui",1320413235688
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320413241460
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1320413241469
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320413242230
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320413243380
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.4.v20110204-0100-e3x,"org.eclipse.cdt.mylyn.ui",1320413243456
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320413243514
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1320413243680
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1320413243681
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1320413243681
